SentPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,1989,1989,1989
2,1924,1924,1924
3,1912,1912,1912
4,2000,2000,2000
5,1838,1838,1838
6,1035,1035,1035
7,1009,1009,1009
8,983,983,983
9,956,956,956
10,928,928,928
11,894,894,894
12,846,846,846
13,784,784,784
14,426,426,426
15,401,401,401
16,1772,1772,1772
17,375,375,375
18,348,348,348
19,321,321,321
20,289,289,289
21,248,248,248
22,196,196,196
23,140,140,140
24,70,70,70
25,1706,1706,1706
26,1640,1640,1640
27,1574,1574,1574
28,1508,1508,1508
29,1443,1443,1443
30,1087,1087,1087
31,1061,1061,1061
32,1933,1933,1933
33,1,1,1
34,1,1,1
ReceivedUnicastPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
DroppedPacketsInMac,Q5,Q2,Q1,Q5,Q2,Q1
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
RXTXLostPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,0,0,0
2,0,0,0
3,543,543,543
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,373,373,373
13,543,543,543
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,589,589,589
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,552,552,552
33,0,0,0
34,0,0,0
SNIRLostPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,1536,1536,1536
2,1503,1503,1503
3,958,958,958
4,122,122,122
5,1399,1399,1399
6,2100,2100,2100
7,2071,2071,2071
8,1939,1939,1939
9,1722,1722,1722
10,1575,1575,1575
11,1449,1449,1449
12,790,790,790
13,631,631,631
14,635,635,635
15,653,653,653
16,1743,1743,1743
17,651,651,651
18,643,643,643
19,655,655,655
20,698,698,698
21,728,728,728
22,610,610,610
23,471,471,471
24,267,267,267
25,1759,1759,1759
26,1498,1498,1498
27,1002,1002,1002
28,1757,1757,1757
29,1916,1916,1916
30,1911,1911,1911
31,2024,2024,2024
32,678,678,678
33,1493,1493,1493
34,1494,1494,1494
TotalLostPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,1536,1536,1536
2,1503,1503,1503
3,1501,1501,1501
4,122,122,122
5,1399,1399,1399
6,2100,2100,2100
7,2071,2071,2071
8,1939,1939,1939
9,1722,1722,1722
10,1575,1575,1575
11,1449,1449,1449
12,1163,1163,1163
13,1174,1174,1174
14,635,635,635
15,653,653,653
16,1743,1743,1743
17,651,651,651
18,643,643,643
19,655,655,655
20,698,698,698
21,728,728,728
22,610,610,610
23,471,471,471
24,267,267,267
25,1759,1759,1759
26,1498,1498,1498
27,1591,1591,1591
28,1757,1757,1757
29,1916,1916,1916
30,1911,1911,1911
31,2024,2024,2024
32,1230,1230,1230
33,1493,1493,1493
34,1494,1494,1494
ReceivedBroadcasts,Q5,Q2,Q1,Q5,Q2,Q1
1,28808,28808,28808
2,28789,28789,28789
3,28758,28758,28758
4,5820,5820,5820
5,28015,28015,28015
6,20433,20433,20433
7,20055,20055,20055
8,19765,19765,19765
9,19549,19549,19549
10,19250,19250,19250
11,18776,18776,18776
12,18222,18222,18222
13,17069,17069,17069
14,10500,10500,10500
15,10003,10003,10003
16,27566,27566,27566
17,9477,9477,9477
18,8901,8901,8901
19,8264,8264,8264
20,7441,7441,7441
21,6368,6368,6368
22,5088,5088,5088
23,3659,3659,3659
24,1833,1833,1833
25,27365,27365,27365
26,27316,27316,27316
27,26722,26722,26722
28,26018,26018,26018
29,25189,25189,25189
30,21293,21293,21293
31,20856,20856,20856
32,27148,27148,27148
33,21240,21240,21240
34,21239,21239,21239
receivedFramesLowerMsg,Q5,Q2,Q1,Q5,Q2,Q1
1,28808,28808,28808
2,28789,28789,28789
3,28758,28758,28758
4,5820,5820,5820
5,28015,28015,28015
6,20433,20433,20433
7,20055,20055,20055
8,19765,19765,19765
9,19549,19549,19549
10,19250,19250,19250
11,18776,18776,18776
12,18222,18222,18222
13,17069,17069,17069
14,10500,10500,10500
15,10003,10003,10003
16,27566,27566,27566
17,9477,9477,9477
18,8901,8901,8901
19,8264,8264,8264
20,7441,7441,7441
21,6368,6368,6368
22,5088,5088,5088
23,3659,3659,3659
24,1833,1833,1833
25,27365,27365,27365
26,27316,27316,27316
27,26722,26722,26722
28,26018,26018,26018
29,25189,25189,25189
30,21293,21293,21293
31,20856,20856,20856
32,27148,27148,27148
receivedBitsLowerPackets,Q5,Q2,Q1,Q5,Q2,Q1
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
