SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[1].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[1].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[1].nic.mac1609_4 	receivedBits 	30426400
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[3].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[3].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[3].nic.mac1609_4 	receivedBits 	30406336
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[4].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[4].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[4].nic.mac1609_4 	receivedBits 	30373600
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[0].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[0].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[0].nic.mac1609_4 	receivedBits 	6148832
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[5].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[5].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[5].nic.mac1609_4 	receivedBits 	29588992
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[14].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[14].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[14].nic.mac1609_4 	receivedBits 	21579264
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[15].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[15].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[15].nic.mac1609_4 	receivedBits 	21180096
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[16].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[16].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[16].nic.mac1609_4 	receivedBits 	20873856
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[17].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[17].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[17].nic.mac1609_4 	receivedBits 	20645760
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[18].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[18].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[18].nic.mac1609_4 	receivedBits 	20330016
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[19].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[19].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[19].nic.mac1609_4 	receivedBits 	19829472
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[20].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[20].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[20].nic.mac1609_4 	receivedBits 	19244448
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[21].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[21].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[21].nic.mac1609_4 	receivedBits 	18026880
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[22].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[22].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[22].nic.mac1609_4 	receivedBits 	11088000
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[23].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[23].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[23].nic.mac1609_4 	receivedBits 	10563168
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[6].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[6].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[6].nic.mac1609_4 	receivedBits 	29113056
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[24].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[24].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[24].nic.mac1609_4 	receivedBits 	10007712
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[25].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[25].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[25].nic.mac1609_4 	receivedBits 	9399456
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[26].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[26].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[26].nic.mac1609_4 	receivedBits 	8726784
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[27].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[27].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[27].nic.mac1609_4 	receivedBits 	7857696
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[28].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[28].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[28].nic.mac1609_4 	receivedBits 	6724608
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[29].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[29].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[29].nic.mac1609_4 	receivedBits 	5372928
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[30].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[30].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[30].nic.mac1609_4 	receivedBits 	3863904
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[31].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[31].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[31].nic.mac1609_4 	receivedBits 	1935648
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[7].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[7].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[7].nic.mac1609_4 	receivedBits 	28900800
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[8].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[8].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[8].nic.mac1609_4 	receivedBits 	28849056
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[9].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[9].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[9].nic.mac1609_4 	receivedBits 	28221792
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[10].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[10].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[10].nic.mac1609_4 	receivedBits 	27478368
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[11].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[11].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[11].nic.mac1609_4 	receivedBits 	26602944
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[12].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[12].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[12].nic.mac1609_4 	receivedBits 	22487424
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[13].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[13].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[13].nic.mac1609_4 	receivedBits 	22025952
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[2].nic.mac1609_4 	receivedBitsLowerPackets 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[2].nic.mac1609_4 	receivedBitsLoserWsm 	0
SingleCH_Safety_B_100Bytes_Q_1-0.sca:scalar RSUScenario.node[2].nic.mac1609_4 	receivedBits 	28673440
